ts,return
2024-03-31 00:00:00+00:00,0.17075632454556766
2024-06-30 00:00:00+00:00,0.0071347705693947105
2024-09-30 00:00:00+00:00,0.10863608250737466
2024-12-31 00:00:00+00:00,0.07294482074346575
2025-03-31 00:00:00+00:00,0.01018932736121414
2025-06-30 00:00:00+00:00,0.04537325901073297
2025-09-30 00:00:00+00:00,0.11880690978291342
2025-12-31 00:00:00+00:00,0.05580226742942984
2026-03-31 00:00:00+00:00,0.053973136497327046
2026-06-30 00:00:00+00:00,0.18711144936910196
2026-09-30 00:00:00+00:00,0.0004950297625747613
