variant,bars,dev_cagr,dev_max_dd,dev_sharpe,dev_calmar,dev_multiple,oos_cagr,oos_max_dd,oos_sharpe,oos_calmar,oos_multiple,full_cagr,full_max_dd,full_sharpe,full_calmar,full_multiple
perp_1m_ratio_last,10957,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
perp_15m_ratio_last,10957,0.2837144800691793,-0.09091558147978962,1.7943116673893875,3.120636478932366,1.8682326128875855,0.3560774190942606,-0.08714111335091002,2.0148007946582314,4.0862160856307455,2.1412429145876577,0.31938014543120086,-0.09091558147978962,1.9078303076583183,3.5129307895610666,4.000339845147138
spot_15m_price_proxy,10957,0.2839501489280838,-0.09056877827674803,1.7985400856049523,3.1351880231885945,1.8690909948231131,0.3527861886857664,-0.08696738827899708,2.001377913298143,4.056534244238831,2.1282762121987475,0.3178999884056435,-0.09056877827674803,1.9028989599537804,3.5100394910290937,3.977941902716932
ratio_first,10957,0.22932658584933652,-0.1256042392272303,1.488127972714927,1.8257869898360866,1.6764206179223975,0.32728269989648706,-0.08481025015892418,1.8830845222832884,3.8589993459894147,2.029394609223206,0.2773392036159352,-0.1256042392272303,1.6918762009552994,2.2080401531209595,3.402118964802341
ratio_mean,10957,0.2612944395997703,-0.1071827393956899,1.7407846151019655,2.4378406548757945,1.787650936732138,0.254834589361153,-0.09435105926636955,1.577433654511079,2.7009192195893674,1.7637314710035297,0.25806213614077356,-0.1071827393956899,1.6546770091597034,2.407683714707808,3.152936216283406
ratio_median,10957,0.2826156920719889,-0.10263852425193587,1.8492878010058105,2.753505022912081,1.8642335973364756,0.27925466633977747,-0.09664532127470327,1.6923678491799652,2.8894794145908835,1.8507847847426966,0.28093499665858124,-0.10263852425193587,1.766380806849954,2.7371301244452813,3.4502951771565065
toptrader_account_last,10957,0.17313449835577832,-0.10198293089004373,1.5394389251485594,1.69768113982181,1.4911991471661215,0.29923613556415707,-0.12560647522953827,1.7029151839901442,2.3823304890716903,1.9238947966067228,0.23454184199776895,-0.1256064752295375,1.60567038135225,1.867275087284786,2.8689102799372916
toptrader_position_last,10957,0.0630766269192693,-0.06608949567411393,0.7190417149121193,0.954412290120944,1.1654001320346754,0.22875097417812618,-0.12730418916308317,1.6444769664403451,1.7968848918638842,1.6735129237247226,0.14287046279949878,-0.12730418916308361,1.2442323884085094,1.122276208966493,1.9503121822705227
taker_flow_last,10957,-0.09864132871990139,-0.28507721258861596,-1.208067256685086,-0.34601618215710184,0.7711450135739607,-0.026204401574199565,-0.2412234675288033,-0.16502131341008053,-0.1086312283072982,0.9357793658439947,-0.06314250208514693,-0.44499709852890657,-0.5863850905071668,-0.14189418828546646,0.7216215917760007
