year,days,calendar_return,annualised_if_partial
2021,184,-0.029762088974346956,-0.0582132117444637
2022,365,0.22172371016091108,0.22189130092591602
2023,365,0.532384143816532,0.5328321952892057
2024,366,0.4025569338164703,0.4015849741619937
2025,365,0.24741767291175276,0.2476065732074466
2026,182,0.25180295077282877,0.5694295729055441
