symbol,side,start,end,bars,gross_contribution,cost,net_contribution
BTC,short,2022-06-27 20:00:00+00:00,2022-06-29 04:00:00+00:00,9,0.0006251293480424459,0.00010700058142561902,0.0005181287666168268
BTC,short,2022-07-02 12:00:00+00:00,2022-07-04 12:00:00+00:00,13,-0.0008615560244597776,0.00012383014139680018,-0.0009853861658565778
BTC,short,2022-07-05 20:00:00+00:00,2022-07-05 20:00:00+00:00,1,-0.0017258091798656224,3.794543935922016e-05,-0.0017637546192248426
BTC,short,2022-07-25 12:00:00+00:00,2022-07-28 20:00:00+00:00,21,-0.0021381755220436856,0.0002267142213157766,-0.0023648897433594623
BTC,short,2022-08-03 08:00:00+00:00,2022-08-03 16:00:00+00:00,3,-0.0019373561469395789,0.00010145707310630365,-0.0020388132200458826
BTC,short,2022-08-04 04:00:00+00:00,2022-08-09 04:00:00+00:00,31,-0.008237738690951058,0.00046540764138728317,-0.008703146332338341
BTC,short,2022-08-09 16:00:00+00:00,2022-08-10 20:00:00+00:00,8,-0.00727371057536917,0.00028277000270300666,-0.007556480578072177
BTC,long,2022-08-13 12:00:00+00:00,2022-08-14 20:00:00+00:00,9,-0.0018945767998025493,0.0003303686397098836,-0.002224945439512433
BTC,long,2022-08-15 08:00:00+00:00,2022-08-15 16:00:00+00:00,3,-0.002234165536670929,7.776747564186807e-05,-0.002311933012312797
BTC,long,2022-08-16 00:00:00+00:00,2022-08-16 08:00:00+00:00,3,3.795235862180174e-05,1.0303993950542595e-05,2.7648364671259146e-05
BTC,short,2022-08-19 00:00:00+00:00,2022-08-25 04:00:00+00:00,38,0.005181682195185023,0.0001821429655468205,0.0049995392296382024
BTC,short,2022-08-25 16:00:00+00:00,2022-08-25 16:00:00+00:00,1,0.0004355988995095845,6.30815639295225e-05,0.00037251733558006195
BTC,short,2022-08-26 16:00:00+00:00,2022-09-09 08:00:00+00:00,83,0.008035096208646357,0.0013330796634494462,0.006702016545196911
BTC,short,2022-09-16 04:00:00+00:00,2022-09-17 20:00:00+00:00,11,-0.000571590262442828,3.5349511136758844e-05,-0.0006069397735795868
BTC,short,2022-09-19 04:00:00+00:00,2022-09-19 16:00:00+00:00,4,0.0005597500851737099,3.6132874440433764e-05,0.0005236172107332762
BTC,short,2022-09-22 04:00:00+00:00,2022-09-23 00:00:00+00:00,6,-0.010450463574300186,0.00023606806329482002,-0.010686531637595005
