symbol,episodes,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor,median_bars,mean_days
BTC,153,0.3202614379084967,0.01472684071441478,-0.003659917468504738,4.023817706586549,1.8958371886802006,8.0,2.843137254901961
ETH,161,0.32298136645962733,0.014803329128382907,-0.00273082895869478,5.420818862071196,2.586078723189928,7.0,2.3167701863354035
