profile,profile_name,period_end,return,observations,complete,sample
risk20,20% target-vol,2022-10-09 00:00:00+00:00,-0.005495599173543142,7,True,development
risk20,20% target-vol,2022-10-16 00:00:00+00:00,0.0005293324528696797,7,True,development
risk20,20% target-vol,2022-10-23 00:00:00+00:00,0.0010248478532404182,7,True,development
risk20,20% target-vol,2022-10-30 00:00:00+00:00,0.0515434584081611,7,True,development
risk20,20% target-vol,2022-11-06 00:00:00+00:00,-0.011892281693521078,7,True,development
risk20,20% target-vol,2022-11-13 00:00:00+00:00,0.025968936649587215,7,True,development
risk20,20% target-vol,2022-11-20 00:00:00+00:00,-0.0009541069102573241,7,True,development
risk20,20% target-vol,2022-11-27 00:00:00+00:00,0.0015801360711671375,7,True,development
risk20,20% target-vol,2022-12-04 00:00:00+00:00,-0.00012590112056787284,7,True,development
risk20,20% target-vol,2022-12-11 00:00:00+00:00,-0.005960270860192685,7,True,development
risk20,20% target-vol,2022-12-18 00:00:00+00:00,0.004554871608544175,7,True,development
risk20,20% target-vol,2022-12-25 00:00:00+00:00,-0.007005895950157437,7,True,development
risk20,20% target-vol,2023-01-01 00:00:00+00:00,0.0031249560717667713,7,True,development
risk20,20% target-vol,2023-01-08 00:00:00+00:00,-0.008696978074088202,7,True,development
risk20,20% target-vol,2023-01-15 00:00:00+00:00,0.13035202437316706,7,True,development
risk20,20% target-vol,2023-01-22 00:00:00+00:00,0.03385210441406228,7,True,development
risk20,20% target-vol,2023-01-29 00:00:00+00:00,0.0022544614154249576,7,True,development
risk20,20% target-vol,2023-02-05 00:00:00+00:00,-0.00905389528130085,7,True,development
risk20,20% target-vol,2023-02-12 00:00:00+00:00,-0.002387268648158525,7,True,development
risk20,20% target-vol,2023-02-19 00:00:00+00:00,0.008247219375458359,7,True,development
risk20,20% target-vol,2023-02-26 00:00:00+00:00,-0.003913300841474898,7,True,development
risk20,20% target-vol,2023-03-05 00:00:00+00:00,-0.0010853397606063186,7,True,development
risk20,20% target-vol,2023-03-12 00:00:00+00:00,0.002180407898452197,7,True,development
risk20,20% target-vol,2023-03-19 00:00:00+00:00,0.06519801477591303,7,True,development
risk20,20% target-vol,2023-03-26 00:00:00+00:00,-0.011037073844654133,7,True,development
risk20,20% target-vol,2023-04-02 00:00:00+00:00,-0.009235910231457312,7,True,development
risk20,20% target-vol,2023-04-09 00:00:00+00:00,0.006300636991300346,7,True,development
