shift_days,cagr,max_dd,sharpe,calmar,multiple
30,0.03832979467010422,-0.25978555277152404,0.3231833424434759,0.14754398103044042,1.0985825592348542
31,0.08258721023298388,-0.19656673198392682,0.5746683450738346,0.420148462557423,1.2193978802067889
32,-0.03223938172206675,-0.2414370938185001,-0.1191869601405643,-0.13353118699441707,0.9213501977778898
33,0.02129007663660265,-0.14480769011140948,0.21226524990502213,0.14702310782129652,1.054070476067263
34,-0.024206993217716466,-0.17311630718526905,-0.0775891075148813,-0.13983080861244426,0.940584668429124
35,0.0076946512567550585,-0.15807056539303876,0.1270397688828793,0.04867858375544168,1.0193451107112417
36,-0.006861688252201015,-0.1780727940500404,0.0320708278923575,-0.03853305210830132,0.9829362746769822
37,-0.04283854566852363,-0.17538624343314024,-0.21894587248365197,-0.24425259832225268,0.8963332553443216
38,-0.0926557703003914,-0.3504999155862274,-0.5767107322354494,-0.26435318863178703,0.7842321741961258
39,-0.15150778252459207,-0.414216128223619,-0.9732815739831218,-0.3657698776103643,0.6631993273334708
40,-0.16308033704715563,-0.4575449737426721,-1.0451793659163569,-0.35642471539611675,0.6408197508042243
41,-0.11527549383561253,-0.3542712134189462,-0.672994396471622,-0.3253876958365584,0.7362721046901879
42,-0.07238044068453331,-0.3490549137349208,-0.3505245469610001,-0.2073611854079225,0.8287736038296377
43,-0.0663264934019937,-0.35286542113164154,-0.3166778318201874,-0.1879654095583643,0.8423601037319763
44,-0.16616192051890355,-0.39835801493567247,-1.0213249426081825,-0.4171170512176984,0.634937999770476
45,-0.13090457683501766,-0.3493242496800152,-0.8143940906629692,-0.3747365862946179,0.7041894432750604
46,-0.18118192248746456,-0.43841984456657845,-1.1703832132024394,-0.41326122604368165,0.6067339065879171
47,-0.19334591608786567,-0.44678352489872786,-1.31417718762373,-0.4327507737258021,0.5844539211943661
48,-0.19357475525828993,-0.4446041223485493,-1.3931720442185498,-0.43538677562358763,0.5840395577164943
49,-0.17117417015106917,-0.41176482200330866,-1.1877826232323958,-0.41570858170515046,0.6254406396592785
50,-0.16355315411930926,-0.42429414952645406,-1.087566668027501,-0.3854711508557155,0.6399151815460516
51,-0.12133063490788676,-0.3206449986582942,-0.7805339635301489,-0.3783955321791459,0.7237406015081674
52,-0.08068188770753992,-0.2599438462595868,-0.5065825227662057,-0.3103819877581132,0.8103582253577792
53,-0.0003097164234320271,-0.12356412615960222,0.07143636563592147,-0.002506523803130209,0.9992259947191565
54,0.07944556125791236,-0.1046870309991128,0.5723449389562445,0.7588863730272916,1.2105716517823273
55,-0.027175747184772003,-0.17764316364574895,-0.10224282392621338,-0.15297941461437334,0.9334478675736504
56,-0.019956994029790787,-0.16483947578119218,-0.05045461404053756,-0.12106926411414756,0.9508583627362056
57,-0.16285527005616673,-0.3878416399919604,-1.1198827393126392,-0.41990145787219385,0.6412506067036808
58,-0.1316139948196854,-0.33247024507259815,-0.8894225365760375,-0.39586698891188343,0.702753494547414
59,-0.1592542652194301,-0.3818148376120508,-1.0485502807126565,-0.4170981573566897,0.6481678177079389
60,-0.12008921925797689,-0.3641977513345248,-0.7388732258949989,-0.3297363007265575,0.7262992767731518
61,-0.19099344181171918,-0.47698928967906706,-1.279452125092805,-0.40041452909818037,0.5887238191283993
62,-0.2033751316495206,-0.4559800066599774,-1.4087841679571294,-0.4460176513861422,0.5664589504130728
63,-0.18852512821012912,-0.4375379954539099,-1.350253485742664,-0.4308771584843728,0.5932240353899181
64,-0.16285734229298587,-0.4239980102755454,-1.1317719403654936,-0.3840993078886127,0.6412466389347339
65,-0.11587564193127853,-0.34379406708711924,-0.780874879051205,-0.33704956840315403,0.7350242950313505
66,-0.12684600026276405,-0.40624806362093446,-0.9103604389890749,-0.3122377966116846,0.7124383349084582
67,-0.12540266603449257,-0.37283230869747197,-0.8413057782659785,-0.3363513920577315,0.715385754788194
68,-0.16302103017839487,-0.38980451705752506,-1.1666094046950515,-0.4182122654939301,0.6409332677613948
69,-0.2108381701590868,-0.4633335910537454,-1.5343668616644186,-0.45504615730446824,0.5532868785609286
70,-0.3673457806958782,-0.6905368812640301,-3.149340602570441,-0.5319712685344923,0.3184080719998421
71,-0.2745454415008186,-0.563390489977525,-2.060962968554719,-0.48730932876018346,0.44830464482705634
72,-0.23816710656964923,-0.5151196215417819,-1.8270164853716107,-0.46235300813586117,0.50662863367727
73,-0.18102286143220314,-0.43472062439238923,-1.3364790882793858,-0.41641194660414266,0.6070285647748157
74,-0.13265460477730373,-0.36218613245992004,-0.9081881008098074,-0.36626086116641543,0.7006503534983182
75,-0.08908505797775812,-0.375079241948416,-0.5475577529381469,-0.23750996593410476,0.791969456998241
76,-0.07848773784219254,-0.34503557077819913,-0.44051402731473577,-0.22747723565187772,0.8152014532813409
77,-0.10193972354803604,-0.33741377257390226,-0.5996878184308623,-0.3021208137723798,0.764327872967815
78,-0.16193316622830867,-0.42021535451593106,-1.0182574627833654,-0.3853575660386049,0.6430176461001806
79,-0.07169171683339792,-0.3188359272752799,-0.40289938112616475,-0.22485457472143652,0.830312585448
80,-0.08198731131525605,-0.3057231264175998,-0.5031080158735022,-0.2681750388855641,0.8074849272207176
81,-0.13470800442989872,-0.43079253393464323,-0.8825613003139047,-0.312698094369332,0.6965113864199369
82,-0.10467776053839417,-0.3724062233470601,-0.6653570056753769,-0.28108488520300806,0.7585162075841492
83,-0.13709199964377572,-0.41477686134344716,-0.8901974981634948,-0.3305198829070159,0.6917244930745702
