variant,train_to_2022_cagr,train_to_2022_max_dd,train_to_2022_sharpe,train_to_2022_calmar,train_to_2022_multiple,confirmation_2023_cagr,confirmation_2023_max_dd,confirmation_2023_sharpe,confirmation_2023_calmar,confirmation_2023_multiple,validation_2024plus_cagr,validation_2024plus_max_dd,validation_2024plus_sharpe,validation_2024plus_calmar,validation_2024plus_multiple,selected_by_early_calmar
crowding_only,0.2066846019157662,-0.13048251362285446,1.283258098737404,1.5840023017426352,1.3263006175660246,0.5075979401612809,-0.08767359841163946,2.074555252944167,5.789632789771438,1.5071743887781741,0.23378799773958292,-0.19901844795229784,1.1610791121868498,1.1747051599740086,1.690713916582412,False
single_15d,0.14677190318846245,-0.12472212811275685,1.082601297869516,1.1767912030475554,1.2285667573036978,0.3685633826332062,-0.14073759268596453,1.67471947084968,2.618798400620663,1.368269504137929,0.23621877268663694,-0.13555085015997725,1.2953731172353857,1.7426579944563334,1.699052575451262,False
single_30d,0.11559080819680845,-0.09932649243300018,0.9681713165757174,1.1637459993342585,1.1787011574593098,0.5806912963691269,-0.08003058615759628,2.479237455306036,7.255867090934823,1.5801960016889507,0.37554871022287095,-0.0902372846979349,1.9901328470667448,4.161790899183223,2.218924596093782,False
single_60d,0.09170125847482913,-0.08706052880646897,0.8708812081535907,1.053304634510965,1.1409669887385059,0.4243478434277641,-0.12271025593118601,2.1325585585502074,3.458128582713834,1.424003044749306,0.3174330612946654,-0.07900029830130884,1.892145790442883,4.018124844085637,1.9919591139477988,False
single_120d,0.15264669042483403,-0.06315178949710765,1.3762538618663698,2.4171395876568984,1.2380390428616794,0.20985713670964423,-0.10006774946562735,1.3475192001116811,2.097150558799455,1.209699391657012,0.25451304265112396,-0.155315688563195,1.6111016890990648,1.638682125454232,1.7626019686090573,False
single_200d,0.1362017996753253,-0.06027236864222518,1.2823090300408189,2.2597718115877403,1.21158535917571,0.3268590861737346,-0.07078452417369119,2.2209018926961623,4.617663111949262,1.3266022629357388,0.16610359939978148,-0.18554717558872602,1.199877716147675,0.8952095275648811,1.46831758538385,False
vote_15_30_60_r2,0.16528497662499797,-0.11232598817213124,1.2699994679427116,1.4714758295445485,1.2584988920053615,0.5720413955632013,-0.0929699880950986,2.4465964340091846,6.15296836413556,1.5715547137142771,0.3451530636106037,-0.08768855104112239,1.829023997177616,3.936124608202739,2.0983850960869996,False
vote_30_60_120_r2,0.11978145835649112,-0.08619317464039056,1.0784887552187497,1.389686119071903,1.185362660397033,0.5328321952892057,-0.09340071845507447,2.420114554111862,5.704797608655405,1.532384143816532,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,False
vote_20_60_120_r2,0.1151540066045944,-0.1004590286986351,1.0183221452242586,1.146278319592781,1.1780075362931572,0.5294331171217272,-0.09630742966154004,2.4394186493699404,5.497323716169679,1.5289883824930448,0.3230621634569206,-0.08084693545776978,1.8318196986607664,3.99597290395344,2.013302421583723,False
vote_15_30_60_120_r2,0.18859541478213937,-0.12532178226454804,1.3765870981791237,1.504889344647396,1.2965288555574754,0.5643923150065737,-0.10117635255954693,2.4131480003467565,5.578302644132213,1.563913222349344,0.3546378771213343,-0.09607096768859624,1.8205161161701138,3.691415686275328,2.135565631192688,False
vote_30_60_120_200_r2,0.1786716181197534,-0.06304616148166053,1.4442140258232463,2.833980910506774,1.2802923038012148,0.5547493044926843,-0.08147740046765573,2.4561674861215095,6.808627930059016,1.5542797428877029,0.30131887532385515,-0.09061969846319429,1.6764029078300453,3.3250924515737332,1.9316132563422217,True
vote_15_30_60_120_200_r3,0.11952463937889002,-0.075001809050812,1.0751667632618283,1.5936234191086622,1.184954056836282,0.5484123927364457,-0.07933815404637967,2.4777599331097813,6.912341222557984,1.5479490722173432,0.2967695466066014,-0.0964270975716427,1.679820189816304,3.077657153230291,1.9147777939172619,False
