profile,profile_name,period_end,return,observations,complete,sample
risk24,24% target-vol,2021-08-31 00:00:00+00:00,0.0,31,True,development
risk24,24% target-vol,2021-09-30 00:00:00+00:00,-0.024655310815142273,30,True,development
risk24,24% target-vol,2021-10-31 00:00:00+00:00,-0.00011923627700582973,31,True,development
risk24,24% target-vol,2021-11-30 00:00:00+00:00,-0.002522200734887514,30,True,development
risk24,24% target-vol,2021-12-31 00:00:00+00:00,-0.0026016050850159456,31,True,development
risk24,24% target-vol,2022-01-31 00:00:00+00:00,0.0,31,True,development
risk24,24% target-vol,2022-02-28 00:00:00+00:00,0.03043760239899851,28,True,development
risk24,24% target-vol,2022-03-31 00:00:00+00:00,0.01694822874983748,31,True,development
risk24,24% target-vol,2022-04-30 00:00:00+00:00,0.01629894104157459,30,True,development
risk24,24% target-vol,2022-05-31 00:00:00+00:00,0.04919108771134795,31,True,development
risk24,24% target-vol,2022-06-30 00:00:00+00:00,0.09774092056271555,30,True,development
risk24,24% target-vol,2022-07-31 00:00:00+00:00,-0.006168801147406144,31,True,development
risk24,24% target-vol,2022-08-31 00:00:00+00:00,-0.02823459845997789,31,True,development
risk24,24% target-vol,2022-09-30 00:00:00+00:00,-0.03543861349401334,30,True,development
risk24,24% target-vol,2022-10-31 00:00:00+00:00,0.04902430702208971,31,True,development
risk24,24% target-vol,2022-11-30 00:00:00+00:00,0.02511733098983271,30,True,development
risk24,24% target-vol,2022-12-31 00:00:00+00:00,-0.005709060593080961,31,True,development
risk24,24% target-vol,2023-01-31 00:00:00+00:00,0.18316723061297058,31,True,development
risk24,24% target-vol,2023-02-28 00:00:00+00:00,-0.0019229338479523905,28,True,development
risk24,24% target-vol,2023-03-31 00:00:00+00:00,0.06298773101551713,31,True,development
risk24,24% target-vol,2023-04-30 00:00:00+00:00,0.03227039387757591,30,True,development
risk24,24% target-vol,2023-05-31 00:00:00+00:00,-0.024986648337449124,31,True,development
risk24,24% target-vol,2023-06-30 00:00:00+00:00,0.01834840839983598,30,True,development
risk24,24% target-vol,2023-07-31 00:00:00+00:00,-0.01940648066116535,31,True,development
risk24,24% target-vol,2023-08-31 00:00:00+00:00,0.04712668360075045,31,True,development
