scenario,lookback,entry_z,exit_z,target_vol,max_gross,fee,lag_bars,offset_hours,side,include_funding,use_trend_filter,trend_horizon_days,trend_required,turnover,active_share,mean_active_gross,realised_full_vol,dev_cagr,dev_max_dd,dev_sharpe,dev_calmar,dev_multiple,oos_cagr,oos_max_dd,oos_sharpe,oos_calmar,oos_multiple,full_cagr,full_max_dd,full_sharpe,full_calmar,full_multiple
lb90_e0.75_x0.00,90,0.75,0.0,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,135.53690828883407,0.5077119649539107,0.480402344227108,0.17231532699616608,0.1877752985860246,-0.10239417844042464,1.1575808010164417,1.833847406620648,1.538206910539294,0.14728315473842657,-0.18352127035086163,0.8376095585823435,0.8025399696549946,1.4097955043913386,0.16736475144202667,-0.18352127035086063,0.983936598082627,0.9119637801223504,2.1685571873019907
lb90_e0.75_x0.25,90,0.75,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,503.4181828238981,0.5248699461531441,0.5059423898974036,0.20387474636706474,0.2430468832802981,-0.271654833225363,1.2005224726391903,0.8946900756176426,1.723634302749631,0.3581663406668123,-0.14562210271536524,1.560513896827634,2.459560286441466,2.149497316520069,0.29930080982750096,-0.271654833225363,1.38575317612693,1.101768763963802,3.7049473084222657
lb90_e0.75_x0.50,90,0.75,0.5,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,598.0927713247852,0.46107511180067534,0.4980445893281027,0.18813592029414905,0.36123656096860945,-0.11418519415376749,1.837777144528889,3.1636024586703444,2.1634898736730097,0.34348806156764256,-0.17039700089510978,1.5797270620127044,2.0158104882320163,2.0918986676774285,0.3523380516366117,-0.17039700089511012,1.6980537690765924,2.067747963788973,4.525801584270181
lb90_e1.00_x0.00,90,1.0,0.0,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,178.6141794487769,0.6532810075750661,0.49887849242544385,0.21803299862537706,0.1877752985860246,-0.10239417844042464,1.1575808010164417,1.833847406620648,1.538206910539294,0.170147391646843,-0.26074072277228744,0.7268257709672435,0.6525539617968987,1.4810784678346725,0.17893322219585217,-0.2607407227722869,0.8636346168989416,0.6862496210540929,2.2782051342742458
lb90_e1.00_x0.25,90,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,449.5347734750218,0.4882723373186091,0.503170543636269,0.19810138181157114,0.23932202901825939,-0.2559375184235557,1.2222573155663665,0.9350798995487678,1.7107386102805786,0.30542317212035064,-0.13680050625198625,1.397746489683695,2.2326172650104215,1.9468777414158498,0.27192518692185974,-0.2559375184235557,1.3127162572161144,1.0624670763269874,3.3305989217359415
lb90_e1.00_x0.50,90,1.0,0.5,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,513.194090041904,0.4281281372638496,0.4999948623245471,0.18400499709566526,0.3293999573955608,-0.12388408433790388,1.7245158702787267,2.658936853398341,2.039085250369203,0.36167219341663515,-0.11959830005064709,1.6897600731930686,3.024057977943461,2.163393588708529,0.3454304852800276,-0.12388408433790388,1.7041450319266183,2.788336267133702,4.411343957478869
lb90_e1.25_x0.00,90,1.25,0.0,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,177.89704409968016,0.6531897417176235,0.49946499624565166,0.21807259231734583,0.19381023539400943,-0.10239417844042475,1.188141451874525,1.8927856870961917,1.5578389313420482,0.17095843730917415,-0.26074072277228755,0.7295352938238095,0.6556645064548552,1.4836458412256586,0.1823353821550442,-0.2607407227722869,0.8767358721974234,0.6992976786149491,2.311281251785053
lb90_e1.25_x0.25,90,1.25,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,376.8098778076124,0.42237838824495755,0.5093988355566356,0.18581591692051294,0.28960446047420896,-0.16619407094787608,1.4874261540539844,1.7425679437447466,1.889756850210411,0.3274507368954036,-0.131597063893245,1.5883867612479448,2.488282999695497,2.030036897159028,0.30838040692499735,-0.16619407094787608,1.5389968801265388,1.8555439743799018,3.8362761325861663
lb90_e1.25_x0.50,90,1.25,0.5,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,414.50868778309655,0.37893584010221776,0.5069375292098812,0.17377210339232144,0.35458721443922214,-0.08334071881578886,1.8930989071982145,4.254669499827325,2.137141066416014,0.26028893532417285,-0.11829005037798557,1.3765727389891946,2.2004296599117357,1.782957226404804,0.30661344813656943,-0.11829005037798546,1.6254328893979784,2.5920476587575467,3.8104311082129008
lb90_e1.50_x0.00,90,1.5,0.0,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,177.07779145806694,0.6531897417176235,0.5000036081254192,0.2181861075129365,0.1890669243949128,-0.10239417844042464,1.1612518904558207,1.8464616570454384,1.542396079136331,0.17100102268504935,-0.2607407227722863,0.729677332469265,0.6558278310610894,1.4837807193892014,0.18000434432079526,-0.260740722772286,0.8673449837517697,0.6903576181231934,2.2885775638839885
