date_utc,risk20_return,risk20_equity_growth_of_1,risk20_drawdown,risk20_btc_end_position,risk20_eth_end_position,risk20_mean_gross_exposure,risk24_return,risk24_equity_growth_of_1,risk24_drawdown,risk24_btc_end_position,risk24_eth_end_position,risk24_mean_gross_exposure,benchmark_return,benchmark_equity_growth_of_1
2021-07-01 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0005,0.9995
2021-07-02 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0008627361783541954,1.000362304810265
2021-07-03 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.051133458962367095,1.0515142896707796
2021-07-04 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04080731214787292,1.094423761517324
2021-07-05 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.04069456138464955,1.049886666573438
2021-07-06 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.013509451128427274,1.0640700591858994
2021-07-07 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.017336627768667734,1.0825174457217897
2021-07-08 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.06653020461511927,1.0104973385584828
2021-07-09 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001197518114084417,1.0117074274256406
2021-07-10 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.010892091724807984,1.000687817327451
2021-07-11 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016972017830259034,1.0176715088056554
2021-07-12 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.04313768530078632,0.9737715155192206
2021-07-13 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.029020041440982025,0.9455126257848049
2021-07-14 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020279255843056232,0.9646869182259348
2021-07-15 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.03319051224402225,0.9326684652549088
2021-07-16 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.005114109424621205,0.9374382338431159
2021-07-17 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.002822532526534083,0.934792283936477
2021-07-18 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.006850530965246016,0.9283884604492971
2021-07-19 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.03294038227500529,0.8978069896623937
2021-07-20 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.025853181172721285,0.8745958229005163
2021-07-21 00:00:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07243759206500777,0.9379494383415437
