scenario,lookback,entry_z,exit_z,target_vol,max_gross,fee,lag_bars,offset_hours,side,include_funding,use_trend_filter,trend_horizon_days,trend_required,turnover,active_share,mean_active_gross,realised_full_vol,dev_cagr,dev_max_dd,dev_sharpe,dev_calmar,dev_multiple,oos_cagr,oos_max_dd,oos_sharpe,oos_calmar,oos_multiple,full_cagr,full_max_dd,full_sharpe,full_calmar,full_multiple
asset_BTC,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,198.39311412987757,0.44519485260564023,0.34854850292795675,0.14518366914505826,0.2573618894468568,-0.1017032747592832,1.640608044025058,2.530517233156895,1.773736083063161,0.24842160532582236,-0.0869402017257378,1.6081192032461826,2.8573847356542257,1.7412864164961255,0.2528862196497317,-0.1017032747592832,1.624881386087884,2.4865100976175687,3.0885825478869253
asset_ETH,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,165.14158179444334,0.38313406954458334,0.2788961797122289,0.12508884241039805,0.16850153486966257,-0.06944357338885077,1.4437440830476123,2.426452537603943,1.4765060540107595,0.325448414133789,-0.08196126088901767,2.1282741393883917,3.970758997649793,2.0223913460273004,0.2444603941917911,-0.081961260889018,1.810645251759434,2.982633399488689,2.9860730659882777
asset_BTC_ETH,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
