symbol,panel_first,panel_last,panel_4h_bars,ratio_first,ratio_last,ratio_valid_bars,ratio_missing_within_availability,ratio_missing_share_within_availability,longest_missing_run_4h_bars,nonpositive_ratio_bars
BTC,2021-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,10957,2021-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,10837,120,0.01095190289312768,119,0
ETH,2021-07-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,10957,2021-12-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,9919,120,0.011953381810937344,119,0
