symbol,perp_venue,spot_venue,venue_label,quote_bridged,entry_time,exit_time,entry_ms,exit_ms,duration_days,epochs,entry_basis_bps,exit_basis_bps,funding_received,drift_quote,fees_paid,pnl_quote,pnl_pct,exit_reason,exit_reason_vi,still_open
AAVEUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-06-17 08:00,2026-09-01 08:00,1781683200007,1788249600000,76.0,1823,14.15,-13.56,1134.2628,138.5129,-145.0,1127.7757,1.5037,take_profit,Chốt lời hội tụ Basis: Net PnL +1.50% trên vốn ≥ ngưỡng +1.50%,False
UNIUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-07-01 08:00,2026-09-08 14:00,1782892800065,1788876000000,69.25,1661,8.67,-8.42,1203.4947,85.4827,-145.0,1143.9774,1.5253,take_profit,Chốt lời hội tụ Basis: Net PnL +1.53% trên vốn ≥ ngưỡng +1.50%,False
ETHUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-07-06 21:00,2026-09-16 09:00,1783371600039,1789549200091,71.5,1716,5.07,5.07,880.9681,-0.0,-145.0,735.9681,0.9813,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
BNBUSDT,binance_futures,binance_spot,BIN-F ← BIN-S,False,2026-07-16 08:00,2026-09-16 08:00,1784188800003,1789545600002,62.0,186,5.2,4.81,401.7795,1.9569,-150.0,253.7364,0.3383,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
NEARUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-07 05:00,2026-09-16 08:00,1786078800013,1789545600035,40.125,963,9.82,9.82,891.8089,-0.0,-145.0,746.8089,0.9957,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
UNIUSDT,kraken_futures,binance_spot,KRK ← BIN-S,True,2026-08-20 00:00,2026-09-16 08:00,1787184000000,1789545600000,27.333,656,5.43,5.43,379.7729,-0.0,-150.0,229.7729,0.3064,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
SOLUSDT,kraken_futures,binance_spot,KRK ← BIN-S,True,2026-08-21 21:00,2026-09-16 08:00,1787346000000,1789545600000,25.458,611,7.47,7.47,85.5256,-0.0,-150.0,-64.4744,-0.086,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
XRPUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-22 02:00,2026-09-16 09:00,1787364000021,1789549200091,25.292,607,14.84,14.84,392.769,-0.0,-145.0,247.769,0.3304,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
SOLUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-22 06:00,2026-09-16 09:00,1787378400054,1789549200091,25.125,603,6.04,6.04,238.8478,-0.0,-145.0,93.8478,0.1251,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
XRPUSDT,kraken_futures,binance_spot,KRK ← BIN-S,True,2026-08-22 09:00,2026-09-16 08:00,1787389200000,1789545600000,24.958,599,9.99,9.99,143.3243,-0.0,-150.0,-6.6757,-0.0089,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
