symbol,perp_source,spot_source,min_rate_per_8h_bps,persistence_periods,min_net_apr_frac,exit_net_apr_frac,exit_persistence_periods,exit_negative_min_bps,exit_negative_periods,exit_negative_cum_cost_frac,min_hold_recovered_cost_frac,notional_quote,holding_days,open_at_ms,close_at_ms,held_days,settlements,funding_frac,cost_frac,net_frac,exit_reason_vi,max_basis_pct,max_basis_widen_pct,min_trailing_mean_bps,trailing_mean_days,trailing_mean_min_cost_frac
SOLUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1698249600001,1760169600003,716.6666666898149,2150,0.17780477999999625,0.0033832190813049483,0.1744215609186913,"THOÁT: funding đã đảo dấu, mốc mới nhất -20.3878 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -20.3878 bps/8h (cổng ≤ −2.0000), 2 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.5066% notional so với cổng 0.3383% (= 1.00 × vòng 0.3383%).",2,2,0,0,0
SOLUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1761494400000,1789545600002,324.6666666898148,974,-0.008907030000000052,0.0033832190813049483,-0.012290249081305,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
SOLUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1698278400000,1760169600000,716.3333333333334,2149,0.20321282999999413,0.0034766507375207528,0.19973617926247336,"THOÁT: funding đã đảo dấu, mốc mới nhất -13.4040 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -13.4040 bps/8h (cổng ≤ −2.0000), 2 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.6340% notional so với cổng 0.3477% (= 1.00 × vòng 0.3477%).",2,2,0,0,0
SOLUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1761638400000,1789545600000,323,969,-0.0033415299999999906,0.0034766507375207528,-0.006818180737520743,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
SOLUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1760137200035,24.37500019675926,585,0.003457246400000052,0.0033565504643420134,0.0001006959356580385,"THOÁT: funding đã đảo dấu, mốc mới nhất -105.2266 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -105.2266 bps/8h (cổng ≤ −2.0000), 2 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.3367% notional so với cổng 0.3357% (= 1.00 × vòng 0.3357%).",2,2,0,0,0
SOLUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1760450400060,1770184800042,112.66666645833334,2704,0.005473171300000141,0.0033565504643420134,0.0021166208356581274,"THOÁT: funding đã đảo dấu, mốc mới nhất -2.9594 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -2.9594 bps/8h (cổng ≤ −2.0000), 93 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.3377% notional so với cổng 0.3357% (= 1.00 × vòng 0.3357%).",2,2,0,0,0
SOLUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1770271200038,1789545600035,223.0833332986111,5354,-0.004095300100000847,0.0033565504643420134,-0.00745185056434286,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
SOLUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200000,1760133600000,24.333333333333332,584,0.003903987592806209,0.0034172545523771403,0.00048673304042906856,THOÁT: basis -2.2233% vượt trần 2.0000%.,2,2,0,0,0
SOLUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1760824800000,1789545600000,332.4166666666667,7971,-0.0026438772110482602,0.0034172545523771403,-0.0060611317634254,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
SOLUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1782604800000,1789545600000,80.33333333333333,241,0.006761216661726205,0.0033899721111441085,0.003371244550582096,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
SOLUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1779494403000,1789545600000,116.3332986111111,349,0.0002900000000000016,0.003467616121171924,-0.003177616121171922,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
HYPEUSDT,binance_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1748678400000,1789545600002,473.0000000231482,2837,0.11044611999999464,0.004438547134533993,0.10600757286546064,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
HYPEUSDT,bybit_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1733529600000,1789545600000,648.3333333333334,1945,0.19702072999999287,0.004658561157471055,0.19236216884252183,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
HYPEUSDT,hyperliquid_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1789545600035,364.75000019675923,8754,0.10332550069999205,0.0048505905172245,0.09847491018276755,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
HYPEUSDT,kraken_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200000,1762020000000,46.166666666666664,1106,0.0244273894363919,0.00459295344730341,0.01983443598908849,THOÁT: basis -2.6604% vượt trần 2.0000%.,2,2,0,0,0
HYPEUSDT,kraken_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1762146000000,1763524800000,15.958333333333334,383,0.0033797477991758715,0.00459295344730341,-0.0012132056481275384,"THOÁT: basis đã dịch 2.0153 điểm % so với lúc vào (-0.3052% → 1.7101%), quá hạn 2.0000.",2,2,0,0,0
HYPEUSDT,kraken_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1763575200000,1764370800000,9.208333333333334,221,0.0026644802415257095,0.00459295344730341,-0.0019284732057777004,"THOÁT: basis đã dịch -2.0231 điểm % so với lúc vào (0.1963% → -1.8268%), quá hạn 2.0000.",2,2,0,0,0
HYPEUSDT,kraken_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1764403200000,1771750800000,85.04166666666667,2038,0.004918378858858833,0.00459295344730341,0.00032542541155542327,"THOÁT: funding đã đảo dấu, mốc mới nhất -5.4339 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -5.4339 bps/8h (cổng ≤ −2.0000), 101 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.4637% notional so với cổng 0.4593% (= 1.00 × vòng 0.4593%).",2,2,0,0,0
HYPEUSDT,kraken_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1772089200000,1789545600000,202.04166666666666,4849,0.04056262351439632,0.00459295344730341,0.03596967006709291,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
HYPEUSDT,okx_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1782316800000,1789545600000,83.66666666666667,251,0.011841993194206382,0.004680330934342058,0.0071616622598643246,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
HYPEUSDT,gate_futures,bybit_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1773532800000,1789545600000,185.33333333333334,1111,0.012168999999999945,0.005217407768830681,0.006951592231169265,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
NEARUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695196800000,1789545600002,1092.0000000231482,3276,0.22683674999998904,0.006155847381404907,0.22068090261858414,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
NEARUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1696003200000,1789545600000,1082.6666666666667,3248,0.27893834999998546,0.006644074954691646,0.2722942750452938,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
NEARUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1789545600035,364.75000019675923,8754,0.09961533459999282,0.005771799161365934,0.09384353543862689,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
NEARUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758106800000,1788937200000,356.8333333333333,8557,-0.026388166151932606,0.007120149149340018,-0.03350831530127262,THOÁT: basis -2.5063% vượt trần 2.0000%.,2,2,0,0,0
NEARUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1789005600000,1789545600000,6.25,150,-0.00045740091077586375,0.007120149149340018,-0.007577550060115882,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
NEARUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1781884800000,1789545600000,88.66666666666667,266,0.015815177530945666,0.0069823406344493326,0.008832836896496332,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
NEARUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1773619200000,1789545600000,184.33333333333334,553,0.016463999999999965,0.007041032903917903,0.009422967096082062,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LINKUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695081600000,1789545600002,1093.3333333564815,3280,0.2582207499999905,0.004455960049746859,0.25376478995024365,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LINKUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1697875200000,1789545600000,1061,3183,0.25060213999999126,0.004679266946627884,0.24592287305336338,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LINKUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1789545600035,364.75000019675923,8754,0.09966345609999219,0.004369652045236942,0.09529380405475525,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LINKUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758067200000,1789545600000,364.3333333333333,8737,0.00483035772622428,0.00506030273741505,-0.00022994501119077016,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LINKUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1783065600000,1789545600000,75,225,0.012991375283996283,0.004949930809736741,0.008041444474259541,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LINKUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1775491202000,1789545600000,162.66664351851853,488,0.01703899999999998,0.005488745383981432,0.011550254616018548,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
UNIUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695772800000,1789545600002,1085.3333333564815,3256,0.2632905299999913,0.005704828020591939,0.2575857019793994,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
UNIUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695715200000,1789545600000,1086,3258,0.22772124999999174,0.00645563615052496,0.22126561384946677,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
UNIUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758178800000,1760133600000,22.625,543,-0.0012645866423974458,0.006628688649392596,-0.007893275291790042,THOÁT: basis 6.5206% vượt trần 2.0000%.,2,2,0,0,0
UNIUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1760263200000,1763524800000,37.75,903,0.012283181793020596,0.006628688649392596,0.005654493143628,THOÁT: basis 2.1387% vượt trần 2.0000%.,2,2,0,0,0
UNIUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1763586000000,1789545600000,300.4583333333333,7208,-0.02754901521400277,0.006628688649392596,-0.034177703863395366,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
UNIUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1781078400000,1789545600000,98,294,0.01824576454887806,0.005888455910562597,0.012357308638315462,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
UNIUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1777104003000,1789545600000,143.9999652777778,432,0.011397999999999976,0.006494659238568261,0.0049033407614317145,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
AAVEUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695024000000,1789545600002,1094.0000000231482,3282,0.21357241999999638,0.006750457307572133,0.20682196269242425,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
AAVEUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695456000000,1789545600000,1089,3267,0.24708049999999124,0.006848759470091859,0.24023174052989937,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
AAVEUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1789545600035,364.75000019675923,8754,0.09403172819999212,0.006745777868016345,0.08728595033197577,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
AAVEUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200000,1789545600000,364.75,8747,-0.019496811463679938,0.007986130749176788,-0.027482942212856725,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
AAVEUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1787212800000,1789545600000,27,81,0.0039928109614483,0.006963259397296557,-0.0029704484358482573,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
AAVEUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1778169602000,1789545600000,131.66664351851853,395,0.008721000000000007,0.007916027985026684,0.0008049720149733222,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LTCUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695052800000,1789545600002,1093.6666666898147,3281,0.2585773199999915,0.005036964211760364,0.25354035578823114,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LTCUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695744000000,1789545600000,1085.6666666666667,3257,0.2542776299999911,0.005245811547247974,0.2490318184527431,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LTCUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758045600000,1789545600000,364.5833333333333,8743,-0.02091286585703694,0.005666396979622361,-0.026579262836659304,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LTCUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1783641600000,1789545600000,68.33333333333333,205,0.012543157250435184,0.0051891609804932,0.007353996269941984,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
LTCUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1786579201000,1789545600000,34.333321759259256,103,0.0037289999999999992,0.0061838964778982534,-0.002454896477898254,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BNBUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1698019200000,1703203200000,60,180,0.015631100000000002,0.003306034619381169,0.012325065380618833,"THOÁT: funding đã đảo dấu, mốc mới nhất -5.2916 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -5.2916 bps/8h (cổng ≤ −2.0000), 7 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.3886% notional so với cổng 0.3306% (= 1.00 × vòng 0.3306%).",2,2,0,0,0
BNBUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1709337600000,1712505600000,36.666666666666664,110,0.016227580000000005,0.003306034619381169,0.012921545380618836,"THOÁT: funding đã đảo dấu, mốc mới nhất -4.9569 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -4.9569 bps/8h (cổng ≤ −2.0000), 9 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.3608% notional so với cổng 0.3306% (= 1.00 × vòng 0.3306%).",2,2,0,0,0
BNBUSDT,binance_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1712851200000,1789545600002,887.6666666898149,2663,-0.00997374000000001,0.003306034619381169,-0.01327977461938118,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BNBUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1695945600000,1703952000000,92.66666666666667,278,0.011179959999999952,0.003579496149816794,0.007600463850183158,"THOÁT: funding đã đảo dấu, mốc mới nhất -4.0554 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -4.0554 bps/8h (cổng ≤ −2.0000), 10 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.3600% notional so với cổng 0.3579% (= 1.00 × vòng 0.3579%).",2,2,0,0,0
BNBUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1704268800000,1742889600000,447,1341,0.016763949999999844,0.003579496149816794,0.01318445385018305,"THOÁT: funding đã đảo dấu, mốc mới nhất -2.1540 bps/8h — vị thế đang TRẢ chứ không thu. Mốc mới nhất -2.1540 bps/8h (cổng ≤ −2.0000), 15 mốc âm liên tiếp (cổng ≥ 2). Đợt âm đã trả 0.3706% notional so với cổng 0.3579% (= 1.00 × vòng 0.3579%).",2,2,0,0,0
BNBUSDT,bybit_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1743897600000,1789545600000,528.3333333333334,1585,0.04482547000000027,0.003579496149816794,0.04124597385018348,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BNBUSDT,hyperliquid_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758031200018,1789545600035,364.75000019675923,8754,0.055643893899996084,0.003822383401372236,0.05182151049862385,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BNBUSDT,kraken_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1758060000000,1789545600000,364.4166666666667,8739,0.0238763058432168,0.004420429570134873,0.019455876273081926,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BNBUSDT,okx_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1782576000000,1789545600000,80.66666666666667,242,0.013535883692756774,0.0035008695714804816,0.010035014121276293,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
BNBUSDT,gate_futures,binance_spot,0.3,6,0.02,0,48,2,2,1,1,50000,90,1776211201000,1789545600000,154.33332175925926,463,0.015244999999999984,0.003576703407058887,0.011668296592941097,Đóng ở cuối cửa sổ backtest (không phải tín hiệu thoát) — chi phí ra vẫn bị tính.,2,2,0,0,0
